time_s,delta_front_equivalent_deg,carsim_yaw_rate_deg_s,carsim_lateral_accel_g
11.8,-0.0021088533410193594,-0.0927357032457496,-0.003293084522502744
11.81,-0.0021088533410193594,-0.0927357032457496,-0.003293084522502744
11.82,-0.0021088533410193594,-0.0927357032457496,-0.003293084522502744
11.83,-0.005764082677183227,-0.0927357032457496,-0.0033207763696238217
11.84,-0.012484988230772931,-0.0927357032457496,-0.0037740744436683396
11.85,-0.012661854166392532,-0.11451454264436951,-0.0038419319429198683
11.86,-0.025573067466710515,-0.12364760432766615,-0.00413182317134017
11.870000000000001,-0.02457082716486076,-0.12364760432766615,-0.0043907793633369925
11.88,-0.02286112312052649,-0.12364760432766615,-0.004489571899012081
11.89,-0.02286112312052649,-0.12463116481663712,-0.004939626783754116
11.9,-0.02451187185298704,-0.15034424617113765,-0.004939626783754116
11.91,-0.033119347386533646,-0.1545595054095827,-0.005300618700728457
11.92,-0.03323725801028006,-0.17085850779822917,-0.005488474204171241
11.93,-0.039958163563870226,-0.1854714064914992,-0.005658367428400372
11.94,-0.046089515998724864,-0.1854714064914992,-0.0060373216245883645
11.950000000000001,-0.04880146034491041,-0.18617394969790899,-0.0060373216245883645
11.96,-0.05092385157236167,-0.21188703105240955,-0.00646941423011685
11.97,-0.06383506487267966,-0.21638330757341576,-0.006586169045005488
11.98,-0.07261940634184416,-0.23240129267950102,-0.00682716295778868
11.99,-0.08122688187539011,-0.2472952086553323,-0.007280461031833177
12.0,-0.08511793245904788,-0.25291555430658863,-0.0077337591058776346
12.01,-0.08806569805272667,-0.2782071097372488,-0.008187057179922153
12.02,-0.09667317358627328,-0.2782071097372488,-0.00864035525396661
12.030000000000001,-0.10528064911982143,-0.2991428972881851,-0.009093653328011188
12.040000000000001,-0.11388812465336563,-0.32485597864268945,-0.009546951402055704
12.05,-0.125620231716213,-0.3505690599971922,-0.010060747430396191
12.06,-0.13853144501653092,-0.3762821413516935,-0.010753417822572532
12.07,-0.1514426583168476,-0.4019952227061978,-0.011660013970661702
12.08,-0.16482551411215426,-0.4277083040606984,-0.012566610118750533
12.09,-0.18204046517924494,-0.453421385415202,-0.013473206266839554
12.1,-0.19925541624633558,-0.47913446676970634,-0.014379802414928667
12.11,-0.216470367313428,-0.5099761135309814,-0.015286398563017674
12.120000000000001,-0.23368531838052176,-0.5510748911058071,-0.01619349366330713
12.13,-0.25275736177163005,-0.6025010538148158,-0.017326738848418424
12.14,-0.2760741876176404,-0.6539272165238246,-0.01863935734956591
12.15,-0.29544100756811453,-0.7053533792328271,-0.01999925157169938
12.16,-0.30537497761881716,-0.7567795419418327,-0.021442969763496723
12.17,-0.318315668575073,-0.8082057046508384,-0.023065562319130085
12.18,-0.3333787507587773,-0.859631867359841,-0.02487875461530762
12.19,-0.3484418329424816,-0.9110580300688497,-0.02669194691148592
12.200000000000001,-0.3638586469974311,-0.9751299704931998,-0.028505139207664183
12.21,-0.38537733583129125,-1.049459041731078,-0.030318331503842128
12.22,-0.3995855659928299,-1.1265982857945862,-0.0321315238000202
12.23,-0.48592562023171393,-1.1988899817338803,-0.03396854106376638
12.24,-0.5723246297824746,-1.2609245468596255,-0.03600838239696641
12.25,-0.6072556520675852,-1.312350709568642,-0.03825092306157077
12.26,-0.643837423085153,-1.3762821413517003,-0.040517413431793124
12.27,-0.6804191941027207,-1.4603765631586378,-0.042891053787046954
12.280000000000001,-0.718769624476503,-1.5576787972460506,-0.04538419319429224
12.290000000000001,-0.7601562534117693,-1.6605311226640567,-0.04787733260153707
12.3,-0.8014249717232877,-1.7633834480820485,-0.05037047200878155
12.31,-0.8392742819461376,-1.8662357735000659,-0.05286361141602665
12.32,-0.873704184080319,-1.9690880989180979,-0.055071350164654254
12.33,-0.9081340862145003,-2.081705774905156,-0.057016265841732236
12.34,-0.9459833964373546,-2.204580581705773,-0.0588766091208463
12.35,-0.9897871931594373,-2.3331459884782935,-0.06091645045404633
12.36,-1.0387790573263955,-2.4636785162287205,-0.06340834248079019
12.370000000000001,-1.0904239105276816,-2.6051004636785198,-0.06625798323520649
