Time_s,RoadWheelAngle_deg
8.48,2.49876640091433
8.49,2.49969158120415
8.5,2.5
8.51,2.49969158120415
8.52,2.49876640091433
8.53,2.49722468740493
8.54,2.49506682107068
8.55,2.49229333433282
8.56,2.4889049115077
8.57,2.48490238863795
8.58,2.48028675328619
8.59,2.47505914429139
8.6,2.46922085148784
8.61,2.46277331538694
8.62,2.45571812682172
8.63,2.44805702655442
8.64,2.43979190484687
8.65,2.43092480099419
8.66,2.42145790282158
8.67,2.4113935461445
8.68,2.40073421419236
8.69,2.38948253699583
8.7,2.37764129073788
8.71,2.36521339706886
8.72,2.35220192238557
8.73,2.33861007707467
8.74,2.32444121472063
8.75,2.30969883127822
8.76,2.29438656420995
8.77,2.27850819158861
8.78,2.26206763116505
8.79,2.24506893940154
8.8,2.22751631047092
8.81,2.20941407522173
8.82,2.19076670010966
8.83,2.17157878609548
8.84,2.15185506750986
8.85,2.13160041088523
8.86,2.11081981375504
8.87,2.08951840342067
8.88,2.06770143568641
8.89,2.04537429356256
8.9,2.02254248593737
8.91,1.99921164621773
8.92,1.97538753093923
8.93,1.95107601834583
8.94,1.92628310693947
8.95,1.90101491400008
8.96,1.87527767407615
8.97,1.84907773744653
8.98,1.82242156855353
8.99,1.79531574440797
9,1.76776695296637
9.01,1.73978199148079
9.02,1.71136776482172
9.03,1.68253128377444
9.04,1.65327966330913
9.05,1.62362012082546
9.06,1.59355997437172
9.07,1.56310664083926
9.08,1.53226763413244
9.09,1.50105056331471
9.1,1.46946313073119
9.11,1.4375131301082
9.12,1.40520844463032
9.13,1.37255704499533
9.14,1.33956698744749
9.15,1.30624641178987
9.16,1.27260353937593
9.17,1.23864667108102
9.18,1.20438418525429
9.19,1.16982453565144
9.2,1.13497624934887
9.21,1.09984792463978
9.22,1.06444822891269
9.23,1.02878589651277
9.24,0.992869726586951
9.25,0.956708580912726
9.26,0.920311381711697
9.27,0.883687109448145
9.28,0.846844800613231
9.29,0.809793545495378
9.3,0.772542485937367
9.31,0.735100813080758
9.32,0.697477765098072
9.33,0.659682624913433
9.34,0.621724717912138
9.35,0.583613409639765
9.36,0.545358103491358
9.37,0.506968238391279
9.38,0.468453286464316
9.39,0.429822750698522
9.4,0.391086162600576
9.41,0.352253079843957
9.42,0.313333083910762
9.43,0.274335777727614
9.44,0.235270783296287
9.45,0.196147739319616
9.46,0.156976298823281
9.47,0.117766126774111
9.48,0.0785268976953187
9.49,0.0392682932795521
9.5,0
9.51,0
9.52,0
9.53,0
9.54,0
9.55,0
9.56,0
9.57,0
9.58,0
9.59,0
9.6,0
9.61,0
9.62,0
9.63,0
9.64,0
9.65,0
9.66,0
9.67,0
9.68,0
9.69,0
9.7,0
9.71,0
9.72,0
9.73,0
9.74,0
9.75,0
9.76,0
9.77,0
9.78,0
9.79,0
9.8,0
9.81,0
9.82,0
9.83,0
9.84,0
9.85,0
9.86,0
9.87,0
9.88,0
9.89,0
9.9,0
9.91,0
9.92,0
9.93,0
9.94,0
9.95,0
9.96,0
9.97,0
9.98,0
9.99,0
10,0
10.01,0
10.02,0
10.03,0
10.04,0
10.05,0
10.06,0
10.07,0
10.08,0
10.09,0
10.1,0
10.11,0
10.12,0
10.13,0
10.14,0
10.15,0
10.16,0
10.17,0
10.18,0
10.19,0
10.2,0
10.21,0
10.22,0
10.23,0
10.24,0
10.25,0
10.26,0
10.27,0
10.28,0
10.29,0
10.3,0
10.31,0
10.32,0
10.33,0
10.34,0
10.35,0
10.36,0
10.37,0
10.38,0
10.39,0
10.4,0
10.41,0
10.42,0
10.43,0
10.44,0
10.45,0
10.46,0
10.47,0
10.48,0
10.49,0
10.5,0
10.51,0
10.52,0
10.53,0
10.54,0
10.55,0
10.56,0
10.57,0
10.58,0
10.59,0
10.6,0
10.61,0
10.62,0
10.63,0
10.64,0
10.65,0
10.66,0
10.67,0
10.68,0
10.69,0
10.7,0
10.71,0
10.72,0
10.73,0
10.74,0
10.75,0
10.76,0
10.77,0
10.78,0
10.79,0
10.8,0
10.81,0
10.82,0
10.83,0
10.84,0
10.85,0
10.86,0
10.87,0
10.88,0
10.89,0
10.9,0
10.91,0
10.92,0
10.93,0
10.94,0
10.95,0
10.96,0
10.97,0
10.98,0
10.99,0
11,0
11.01,0
11.02,0
11.03,0
11.04,0
11.05,0
11.06,0
11.07,0
11.08,0
11.09,0
11.1,0
11.11,0
11.12,0
11.13,0
11.14,0
11.15,0
11.16,0
11.17,0
11.18,0
11.19,0
11.2,0
11.21,0
11.22,0
11.23,0
11.24,0
11.25,0
11.26,0
11.27,0
11.28,0
11.29,0
11.3,0
11.31,0
11.32,0
11.33,0
11.34,0
11.35,0
11.36,0
11.37,0
